url	state0	state1	state2	state3	state4	state5	stock	lastChecked
https://www.popmart.com/us/pop-now/set/40-10006971500280	1	1	1	1	1	1	true	2025-06-07T01:14:02.895Z
https://www.popmart.com/us/pop-now/set/40-10006971600280	1	1	1	1	1	1	true	2025-06-07T01:14:02.967Z
https://www.popmart.com/us/pop-now/set/40-10006972000280	1	1	1	1	1	1	true	2025-06-07T01:14:02.987Z
https://www.popmart.com/us/pop-now/set/40-10006971800280	1	1	1	1	2	1	true	2025-06-07T01:14:03.742Z
https://www.popmart.com/us/pop-now/set/40-10006972100280	1	2	1	2	2	1	true	2025-06-07T01:14:03.827Z
https://www.popmart.com/us/pop-now/set/40-10006970700280	1	1	2	1	1	1	true	2025-06-07T01:14:03.832Z
https://www.popmart.com/us/pop-now/set/40-10006971900280	1	1	1	2	1	1	true	2025-06-07T01:14:03.836Z
https://www.popmart.com/us/pop-now/set/40-10006972300280	1	2	1	1	1	1	true	2025-06-07T01:14:04.271Z
https://www.popmart.com/us/pop-now/set/40-10006972200280	1	1	1	1	1	1	true	2025-06-07T01:14:04.798Z
https://www.popmart.com/us/pop-now/set/40-10006972400280	1	1	1	1	1	1	true	2025-06-07T01:14:05.718Z
https://www.popmart.com/us/pop-now/set/40-10006972600280	1	1	1	1	1	1	true	2025-06-07T01:14:06.210Z
https://www.popmart.com/us/pop-now/set/40-10006972500280	1	1	1	1	1	1	true	2025-06-07T01:14:07.731Z
https://www.popmart.com/us/pop-now/set/40-10006972800280	2	2	2	2	2	2	true	2025-06-07T01:14:09.645Z
https://www.popmart.com/us/pop-now/set/40-10006972700280	1	1	1	2	1	1	true	2025-06-07T01:14:09.677Z
https://www.popmart.com/us/pop-now/set/40-10006972900280	1	1	1	1	1	1	true	2025-06-07T01:14:09.768Z
https://www.popmart.com/us/pop-now/set/40-10006973400280	1	1	1	1	2	1	true	2025-06-07T01:14:09.810Z
https://www.popmart.com/us/pop-now/set/40-10006973200280	1	1	1	1	1	1	true	2025-06-07T01:14:09.816Z
https://www.popmart.com/us/pop-now/set/40-10006973300280	2	2	2	1	2	2	true	2025-06-07T01:14:09.819Z
https://www.popmart.com/us/pop-now/set/40-10006973000280	1	2	2	1	1	1	true	2025-06-07T01:14:10.034Z
https://www.popmart.com/us/pop-now/set/40-10006973100280	1	1	1	1	1	1	true	2025-06-07T01:14:11.475Z
https://www.popmart.com/us/pop-now/set/40-10006973500280	1	1	1	1	1	1	true	2025-06-07T01:14:12.931Z
https://www.popmart.com/us/pop-now/set/40-10006973600280	1	1	1	1	1	1	true	2025-06-07T01:14:13.198Z
https://www.popmart.com/us/pop-now/set/40-10006973800280	1	1	1	1	1	1	true	2025-06-07T01:14:14.232Z
https://www.popmart.com/us/pop-now/set/40-10006973900280	1	1	1	1	1	1	true	2025-06-07T01:14:14.253Z
https://www.popmart.com/us/pop-now/set/40-10006973700280	1	1	1	1	1	1	true	2025-06-07T01:14:14.367Z
https://www.popmart.com/us/pop-now/set/40-10006974100280	1	1	2	1	1	1	true	2025-06-07T01:14:16.837Z
https://www.popmart.com/us/pop-now/set/40-10006974000280	2	1	1	1	2	1	true	2025-06-07T01:14:16.917Z
https://www.popmart.com/us/pop-now/set/40-10006974200280	1	1	1	1	1	1	true	2025-06-07T01:14:17.006Z
https://www.popmart.com/us/pop-now/set/40-10006974400280	2	2	2	2	2	2	true	2025-06-07T01:14:18.472Z
https://www.popmart.com/us/pop-now/set/40-10006974300280	2	2	2	2	1	1	true	2025-06-07T01:14:18.566Z
https://www.popmart.com/us/pop-now/set/40-10006974600280	1	1	1	1	1	1	true	2025-06-07T01:14:18.906Z
https://www.popmart.com/us/pop-now/set/40-10006974500280	1	1	1	1	1	1	true	2025-06-07T01:14:19.052Z
https://www.popmart.com/us/pop-now/set/40-10006964600280	1	1	1	1	2	1	true	2025-06-07T01:14:58.006Z
